Number	Identity File	URL	Country Code	Country	Region	Source	Main URL	Area	Comment	FORCE
3499	info_3499.xml	http://www.desertmuseumdigitallibrary.org/OAI/	ww	Global		ZZ Needs Checking	www.desertmuseumdigitallibrary.org			1
35	info_35.xml	http://ojs.uac.edu.co/index.php/encuentros/oai	co	Colombia		URL CC Extension	ojs.uac.edu.co			1
350	info_350.xml	https://www.comprensionlectora.es/revistaisl/index.php/revistaISL/oai	es	Spain		URL CC Extension	www.comprensionlectora.es			1
3503	info_3503.xml	http://www.ecologyandsociety.org/oai/	ww	Global		ZZ Needs Checking	www.ecologyandsociety.org			1
3504	info_3504.xml	http://www.ejge.org/index.php/ejge/oai	ww	Global		ZZ Needs Checking	www.ejge.org			1
3506	info_3506.xml	http://www.engj.org/index.php/ej/oai	ww	Global		ZZ Needs Checking	www.engj.org			1
351	info_351.xml	http://cultureandhistory.revistas.csic.es/index.php/cultureandhistory/oai	es	Spain		URL CC Extension	cultureandhistory.revistas.csic.es			1
3511	info_3511.xml	https://www.gratisoa.org/journals/index.php/JBO/oai	ww	Global		ZZ Needs Checking	www.gratisoa.org			1
3512	info_3512.xml	https://www.gratisoa.org/journals/index.php/GJFN/oai	ww	Global		ZZ Needs Checking	www.gratisoa.org			1
3513	info_3513.xml	http://www.haujournal.org/index.php/hau/oai	ww	Global		ZZ Needs Checking	www.haujournal.org			1
3515	info_3515.xml	http://www.iapress.org/index.php/soic/oai	ww	Global		ZZ Needs Checking	www.iapress.org			1
3516	info_3516.xml	http://www.iapsmupuk.org/journal/index.php/IJCH/oai	ww	Global		ZZ Needs Checking	www.iapsmupuk.org			1
3517	info_3517.xml	http://www.iapsmupuk.org/journal/index.php/index/oai	ww	Global		ZZ Needs Checking	www.iapsmupuk.org			1
3519	info_3519.xml	http://www.ifosslr.org/index.php/ifosslr/oai	ww	Global		ZZ Needs Checking	www.ifosslr.org			1
352	info_352.xml	http://ddfv.ufv.es/oai/request	es	Spain		URL CC Extension	ddfv.ufv.es			1
3521	info_3521.xml	http://www.ijcto.org/index.php/IJCTO/oai	ww	Global		ZZ Needs Checking	www.ijcto.org			1
3522	info_3522.xml	http://www.ijept.org/index.php/ijept /oai	ww	Global		ZZ Needs Checking	www.ijept.org			1
3523	info_3523.xml	https://ijicta.org/index.php/ijicta/oai	ww	Global		Manual Web Search	ijicta.org	Science	International Journal	1
3524	info_3524.xml	http://www.ijimai.org/journal/oai/provider	ww	Global		ZZ Needs Checking	www.ijimai.org			1
3527	info_3527.xml	http://www.jbmethods.org/jbm/oai	ww	Global		ZZ Needs Checking	www.jbmethods.org			1
3529	info_3529.xml	http://www.jipat.org/index.php/index/oai	ww	Global		ZZ Needs Checking	www.jipat.org			1
353	info_353.xml	http://digibug.ugr.es/oai/request	es	Spain		URL CC Extension	digibug.ugr.es			1
3530	info_3530.xml	http://www.jl4d.org/index.php/ejl4d/oai	ww	Global		ZZ Needs Checking	www.jl4d.org			1
3531	info_3531.xml	http://www.jotmi.org/index.php/GT/oai	ww	Global		ZZ Needs Checking	www.jotmi.org			1
3532	info_3532.xml	https://www.jphres.org/index.php/jphres/oai	jp	Japan		URL CC Extension	www.jphres.org			1
3535	info_3535.xml	http://www.jurnalhukumdanperadilan.org/index.php/index/oai	ww	Global		ZZ Needs Checking	www.jurnalhukumdanperadilan.org			1
3536	info_3536.xml	http://www.kavilando.org/revista/index.php/kavilando/oai	ww	Global		ZZ Needs Checking	www.kavilando.org			1
3537	info_3537.xml	http://www.language-archives.org/cgi-bin/olaca3.pl	ww	Global		ZZ Needs Checking	www.language-archives.org			1
3538	info_3538.xml	http://www.lastorresdelucca.org/index.php/ojs/oai	ww	Global		ZZ Needs Checking	www.lastorresdelucca.org			1
3539	info_3539.xml	http://www.llcsjournal.org/index.php/llcs/oai	ww	Global		ZZ Needs Checking	www.llcsjournal.org			1
3540	info_3540.xml	http://www.mcser.org/journal/index.php/mjss/oai	ww	Global		ZZ Needs Checking	www.mcser.org			1
3541	info_3541.xml	http://www.mitrip.org/ojs/index.php/mitrip/oai	ww	Global		Manual	www.mitrip.org	Social Science		1
3542	info_3542.xml	http://www.momentdergi.org/index.php/momentdergi/oai	??	Turkey		Manual	www.momentdergi.org	Social Science		1
3543	info_3543.xml	http://www.motricidades.org/journal/index.php/journal/oai	ww	Global		ZZ Needs Checking	www.motricidades.org			1
3545	info_3545.xml	http://www.openpraxis.org/index.php/OpenPraxis/oai	ww	Global		ZZ Needs Checking	www.openpraxis.org			1
3547	info_3547.xml	http://www.orb-academic.org/index.php/journal-of-computer-science/oai	ww	Global		ZZ Needs Checking	www.orb-academic.org			1
3548	info_3548.xml	https://www.pagepress.org/journals/index.php/hr/oai	ww	global		Manual Web Search	www.pagepress.org	multidisciplinary		1
3549	info_3549.xml	http://www.performancephilosophy.org/journal/oai	ww	Global		ZZ Needs Checking	www.performancephilosophy.org			1
355	info_355.xml	https://digital.csic.es/dspace-oai/request	es	Spain		URL CC Extension	digital.csic.es			1
3550	info_3550.xml	http://www.publishing.globalcsrc.org/ojs/index.php/index/oai	ww	Global		ZZ Needs Checking	www.publishing.globalcsrc.org			1
3551	info_3551.xml	https://www.radioprom.org/jour/oai	ww	Global		ZZ Needs Checking	www.radioprom.org			1
3553	info_3553.xml	http://www.renhyd.org/index.php/renhyd/oai	ww	Global		ZZ Needs Checking	www.renhyd.org			1
3554	info_3554.xml	http://www.repo.funde.org/cgi/oai2	ww	Global		ZZ Needs Checking	www.repo.funde.org			1
3555	info_3555.xml	http://www.revistabiomedica.org/index.php/biomedica/oai	es	Spain		Assumed from Similar	www.revistabiomedica.org	Medicine		1
3556	info_3556.xml	http://www.revistabrasileiramarketing.org/ojs-2.2.4/index.php/remark/oai	es	Spain		Assumed from Similar	www.revistabrasileiramarketing.org	Social Science		1
3557	info_3557.xml	http://www.revistapsicologia.org/index.php/index/oai	es	Spain		Manual Web Search	www.revistapsicologia.org	Medicine	·International Journal of Psychology	1
3558	info_3558.xml	http://revuesim.org/sim/oai	ww	Global		ZZ Needs Checking	revuesim.org			1
3559	info_3559.xml	http://www.scapps.org/jems/index.php/1/oai	ca	Canada		Manual Web Search	www.scapps.org	Science	Sports Science	1
3561	info_3561.xml	http://www.seanoe.org/oai/OAIHandler	ww	Global		Manual Web Search	www.seanoe.org	Science	Sea scientific open data publication	1
3563	info_3563.xml	http://www.techpublications.org/index.php/IJTNR/oai	ww	Global		INVALID URL	www.techpublications.org			1
3566	info_3566.xml	http://www.thejsms.org/index.php/TSMRI/oai	ww	Global		Manual Web Search	www.thejsms.org	Social Science	The Journal of Social Media in Society	1
3567	info_3567.xml	https://www.thescholedge.org/index.php/sijbpg/oai	ww	Global		Manual Web Search	www.thescholedge.org	Science	·Scholedge Publishing Worldwide	1
3568	info_3568.xml	https://www.thescholedge.org/index.php/sijmd/oai	ww	Global		Manual Web Search	www.thescholedge.org	Science	·Scholedge Publishing Worldwide	1
3569	info_3569.xml	https://www.thescholedge.org/index.php/sijmas/oai	ww	Global		Manual Web Search	www.thescholedge.org	Science	·Scholedge Publishing Worldwide	1
3570	info_3570.xml	http://www.tmfv.org/apfo/oai	ru	Russia		Manual Web Search	www.tmfv.org	Science	Modeling and Information Technology in Physical Education and Sports	1
3571	info_3571.xml	https://vfast.org/journals/index.php/index/oai	ww	Global		ZZ Needs Checking	vfast.org			1
358	info_358.xml	https://ebuah.uah.es/oai/request	es	Spain		URL CC Extension	ebuah.uah.es			1
3581	info_3581.xml	http://www.zfs-online.org/index.php/zfs/oai	ww	Global		Manual Web Search	www.zfs-online.org	Social Science	Journal of Sociology - ZfS Online	1
3582	info_3582.xml	http://xlescience.org/index.php/IJASIS/oai	in	India		Manual Web Search	xlescience.org	Science	INTERNATIONAL JOURNAL OF ADVANCES IN SIGNAL AND IMAGE SCIENCES	1
3586	info_3586.xml	https://www.med-sovet.pro/jour/oai	su	Soviet Union		Manual	www.med-sovet.pro	Medicine		1
3587	info_3587.xml	http://imed.pub/ojs/index.php/ar/oai	ww	Global		Manual Web Search	imed.pub	Medicine	International Journal	1
3588	info_3588.xml	http://imed.pub/ojs/index.php/biomed/oai	ww	Global		Manual Web Search	imed.pub	Medicine	International Journal	1
36	info_36.xml	http://ojs2.utp.edu.co/index.php/cosmos/oai	co	Colombia		URL CC Extension	ojs2.utp.edu.co			1
360	info_360.xml	http://emerita.revistas.csic.es/index.php/emerita/oai	es	Spain		URL CC Extension	emerita.revistas.csic.es			1
361	info_361.xml	http://eprints.ucm.es/cgi/oai2	es	Spain		URL CC Extension	eprints.ucm.es			1
362	info_362.xml	http://estudiosamericanos.revistas.csic.es/index.php/estudiosamericanos/oai	es	Spain		URL CC Extension	estudiosamericanos.revistas.csic.es			1
363	info_363.xml	http://estudiosgallegos.revistas.csic.es/index.php/estudiosgallegos/oai	es	Spain		URL CC Extension	estudiosgallegos.revistas.csic.es			1
364	info_364.xml	http://estudiosgeograficos.revistas.csic.es/index.php/estudiosgeograficos/oai	es	Spain		URL CC Extension	estudiosgeograficos.revistas.csic.es			1
365	info_365.xml	http://estudiosgeol.revistas.csic.es/index.php/estudiosgeol/oai	es	Spain		URL CC Extension	estudiosgeol.revistas.csic.es			1
366	info_366.xml	http://estudiosmedievales.revistas.csic.es/index.php/estudiosmedievales/oai	es	Spain		URL CC Extension	estudiosmedievales.revistas.csic.es			1
367	info_367.xml	http://fondosdigitales.us.es/repository	es	Spain		URL CC Extension	fondosdigitales.us.es			1
368	info_368.xml	http://gladius.revistas.csic.es/index.php/gladius/oai	es	Spain		URL CC Extension	gladius.revistas.csic.es			1
369	info_369.xml	http://graellsia.revistas.csic.es/index.php/graellsia/oai	es	Spain		URL CC Extension	graellsia.revistas.csic.es			1
37	info_37.xml	http://ojs2.utp.edu.co/index.php/impacto24/oai	co	Colombia		URL CC Extension	ojs2.utp.edu.co			1
370	info_370.xml	http://grasasyaceites.revistas.csic.es/index.php/grasasyaceites/oai	es	Spain		URL CC Extension	grasasyaceites.revistas.csic.es			1
371	info_371.xml	http://gredos.usal.es/oai//request	es	Spain		URL CC Extension	gredos.usal.es			1
372	info_372.xml	https://helvia.uco.es/oai/request	es	Spain		URL CC Extension	helvia.uco.es			1
373	info_373.xml	https://helvia.uco.es/oai/request	es	Spain		URL CC Extension	helvia.uco.es			1
374	info_374.xml	https://hermes.bbtk.ull.es/pandora/cgi-bin/oai.exe	es	Spain		URL CC Extension	hermes.bbtk.ull.es			1
375	info_375.xml	http://hispana.mcu.es/i18n/oai/oai_hispana.mcu.es.do	es	Spain		URL CC Extension	hispana.mcu.es			1
376	info_376.xml	http://hispania.revistas.csic.es/index.php/hispania/oai	es	Spain		URL CC Extension	hispania.revistas.csic.es			1
377	info_377.xml	http://hispaniasacra.revistas.csic.es/index.php/hispaniasacra/oai	es	Spain		URL CC Extension	hispaniasacra.revistas.csic.es			1
378	info_378.xml	http://ibdigital.uib.cat/greenstone/cgi-bin/oaiserver.cgi	es	Spain		URL CC Extension	ibdigital.uib.cat			1
379	info_379.xml	https://idus.us.es/oai/request	es	Spain		URL CC Extension	idus.us.es			1
38	info_38.xml	https://publicaciones.autonoma.edu.co/index.php/index/oai	co	Colombia		URL CC Extension	publicaciones.autonoma.edu.co			1
380	info_380.xml	http://informesdelaconstruccion.revistas.csic.es/index.php/informesdelaconstruccion/oai	es	Spain		URL CC Extension	informesdelaconstruccion.revistas.csic.es			1
381	info_381.xml	http://isegoria.revistas.csic.es/index.php/isegoria/oai	es	Spain		URL CC Extension	isegoria.revistas.csic.es			1
382	info_382.xml	http://loquens.revistas.csic.es/index.php/loquens/oai	es	Spain		URL CC Extension	loquens.revistas.csic.es			1
383	info_383.xml	http://loyola.biblioteca.deusto.es/oai/request	es	Spain		URL CC Extension	loyola.biblioteca.deusto.es			1
384	info_384.xml	http://materconstrucc.revistas.csic.es/index.php/materconstrucc/oai	es	Spain		URL CC Extension	materconstrucc.revistas.csic.es			1
385	info_385.xml	https://naerjournal.ua.es/oai	es	Spain		URL CC Extension	naerjournal.ua.es			1
386	info_386.xml	http://oa.upm.es/cgi/oai2	es	Spain		URL CC Extension	oa.upm.es			1
388	info_388.xml	http://ojs.ual.es/ojs/index.php/ODISEA/oai	es	Spain		URL CC Extension	ojs.ual.es			1
389	info_389.xml	http://ojs.ual.es/ojs/index.php/psye/oai	es	Spain		URL CC Extension	ojs.ual.es			1
39	info_39.xml	http://publicaciones.eafit.edu.co/index.php/index/oai	co	Colombia		URL CC Extension	publicaciones.eafit.edu.co			1
390	info_390.xml	http://ojs.ual.es/ojs/index.php/RIEM/oai	es	Spain		URL CC Extension	ojs.ual.es			1
391	info_391.xml	http://pirineos.revistas.csic.es/index.php/pirineos/oai	es	Spain		URL CC Extension	pirineos.revistas.csic.es			1
397	info_397.xml	http://prensahistorica.mcu.es/i18n/oai/oai_prensahistorica.mcu.es.cmd	es	Spain		URL CC Extension	prensahistorica.mcu.es			1
398	info_398.xml	http://publicaciones.csmjaen.es/index.php/pruebas/oai	es	Spain		URL CC Extension	publicaciones.csmjaen.es			1
399	info_399.xml	https://publicaciones.unirioja.es/ojs/index.php/index/oai	es	Spain		URL CC Extension	publicaciones.unirioja.es			1
40	info_40.xml	http://publicaciones.unisimonbolivar.edu.co/rdigital/ojs/index.php/educacion/oai	co	Colombia		URL CC Extension	publicaciones.unisimonbolivar.edu.co			1
400	info_400.xml	http://rabida.uhu.es/oai/request	es	Spain		URL CC Extension	rabida.uhu.es			1
401	info_401.xml	http://rdtp.revistas.csic.es/index.php/rdtp/oai	es	Spain		URL CC Extension	rdtp.revistas.csic.es			1
402	info_402.xml	http://redc.revistas.csic.es/index.php/redc/oai	es	Spain		URL CC Extension	redc.revistas.csic.es			1
403	info_403.xml	http://repositori.uji.es/oai/request	es	Spain		URL CC Extension	repositori.uji.es			1
404	info_404.xml	http://repositorio.uam.es/oai/request	es	Spain		URL CC Extension	repositorio.uam.es			1
405	info_405.xml	https://repositorio.unican.es/oai/request	es	Spain		URL CC Extension	repositorio.unican.es			1
406	info_406.xml	http://repositorio.upct.es/oai/request	es	Spain		URL CC Extension	repositorio.upct.es			1
408	info_408.xml	http://revintsociologia.revistas.csic.es/index.php/revintsociologia/oai	es	Spain		URL CC Extension	revintsociologia.revistas.csic.es			1
409	info_409.xml	http://revistaaen.es/index.php/aen/oai	es	Spain		URL CC Extension	revistaaen.es			1
41	info_41.xml	http://publicaciones.unisimonbolivar.edu.co/rdigital/ojs/index.php/innovacioning/oai	co	Colombia		URL CC Extension	publicaciones.unisimonbolivar.edu.co			1
410	info_410.xml	http://revistadeindias.revistas.csic.es/index.php/revistadeindias/oai	es	Spain		URL CC Extension	revistadeindias.revistas.csic.es			1
411	info_411.xml	http://revistadeliteratura.revistas.csic.es/index.php/revistadeliteratura/oai	es	Spain		URL CC Extension	revistadeliteratura.revistas.csic.es			1
412	info_412.xml	http://revistademetalurgia.revistas.csic.es/index.php/revistademetalurgia/oai	es	Spain		URL CC Extension	revistademetalurgia.revistas.csic.es			1
414	info_414.xml	http://revistas.ucm.es/index.php/oai/oai/	es	Spain		URL CC Extension	revistas.ucm.es			1
